Wind_power_MW,Solar_power_kW,Consumption_MW
85.52494801,0,39.84
105.8263246,0,42.19
126.1277011,0,45.47
129.1513104,0,46.55
132.1749196,0,44.69
135.1985289,0,42.83
135.6304731,0,35.09
135.6304731,0,32.75
135.6304731,0,29.27
131.7429755,0,29.51
127.8554778,0,29.47
123.9679802,0,28.73
119.6485384,0,30.00
115.3290966,0,30.00
111.0096547,0,37.44
94.16383164,2342.5536,44.30
77.31800855,3660.2112,44.83
60.90412964,5018.112,43.76
62.19996219,5616.6912,42.97
63.49579473,5711.616,43.51
64.79162728,4921.1136,39.70
71.27079001,3721.2672,38.03
77.31800855,1762.4064,39.45
83.3652271,0,37.93
93.73188746,0,41.46
103.6666036,0,42.39
113.6013198,0,45.76
118.3527058,0,44.10
122.6721476,0,42.63
126.9915895,0,41.16
128.287422,0,35.73
130.0151987,0,32.75
131.7429755,0,28.83
133.038808,0,28.63
133.9026964,0,29.22
135.1985289,0,27.90
134.7665847,0,29.56
134.3346406,0,32.01
133.9026964,0,39.79
116.6249291,2394.624,40.63
98.91521764,3950.0544,44.44
81.63745037,5092.3008,44.79
72.56662255,5468.8512,42.49
63.49579473,5571.9936,42.09
54.42496691,4744.1664,38.96
58.74440873,3513.4464,39.06
63.49579473,1880.1408,38.52
67.81523655,0,37.88
89.41244564,0,39.60
111.0096547,0,42.88
133.038808,0,47.72
137.790194,0,44.93
142.54158,0,41.65
147.292966,0,40.14
147.292966,0,36.86
147.7249102,0,33.33
147.7249102,0,27.80
148.1568544,0,27.61
148.1568544,0,27.70
148.1568544,0,28.19
150.3165753,0,27.70
152.4762962,0,29.47
154.2040729,0,37.84
130.0151987,1901.952,43.90
105.3943804,3760.2816,44.83
81.20550619,5108.6592,42.93
59.6082971,5787.0336,40.72
38.44303218,5888.7936,40.67
17.27776727,5138.9184,41.31
22.89304164,3920.5632,39.99
28.508316,2264.064,37.44
34.12359037,0,38.18
60.90412964,0,39.30
88.1166131,0,44.20
114.8971524,0,48.36
122.2402035,0,46.94
129.5832546,0,42.97
136.9263056,0,42.24
139.5179707,0,35.78
141.6776916,0,32.79
144.2693567,0,29.66
145.1332451,0,29.32
145.9971335,0,29.47
147.292966,0,29.71
143.8374126,0,29.91
140.3818591,0,30.20
136.9263056,0,38.67
115.7610407,1090.6368,43.02
94.16383164,2455.3728,45.81
72.56662255,2742.6048,45.23
55.28885528,3923.4816,45.42
37.57914382,4164.0192,41.41
20.30137655,4145.2032,41.51
21.59720909,2199.7824,39.60
22.46109746,2375.424,39.89
23.75693,0,37.64
53.12913437,0,39.55
82.06939455,0,43.61
111.4415989,0,47.04
117.9207616,0,47.43
123.9679802,0,44.35
130.4471429,0,42.34
133.4707522,0,38.72
136.4943615,0,33.53
139.5179707,0,29.51
141.2457475,0,29.37
143.4054684,0,27.85
145.5651893,0,28.44
142.9735242,0,29.86
140.3818591,0,33.12
137.790194,65.0496,36.37
112.3054873,2561.0496,43.27
86.82078055,4115.9424,42.00
61.33607382,5707.2384,43.71
44.49025073,6416.7936,42.63
27.64442764,6338.8416,43.71
10.79860455,5620.3776,42.24
21.16526491,4385.4336,39.65
31.96386946,2481.4848,39.35
42.33052982,0,39.84
64.79162728,0,39.16
87.25272473,0,41.46
109.7138222,0,45.76
115.7610407,0,46.06
121.8082593,0,45.37
128.287422,0,40.53
130.0151987,0,35.98
132.1749196,0,35.14
133.9026964,0,29.76
135.6304731,0,29.71
137.790194,0,29.56
139.5179707,0,29.77
141.6776916,0,30.49
143.8374126,0,32.70
145.9971335,61.3632,35.63
122.6721476,2627.712,38.52
98.91521764,4458.24,43.71
75.59023182,5787.4176,44.74
64.79162728,6226.7136,44.74
54.42496691,6427.392,42.58
43.62636237,5692.6464,44.59
50.10552509,4427.136,42.58
57.016632,2281.9584,41.31
63.92773891,49.3056,42.29
81.63745037,0,41.56
99.77910601,0,42.68
117.9207616,0,45.76
121.8082593,0,46.79
125.6957569,0,44.39
130.0151987,0,42.34
129.5832546,0,38.67
129.5832546,0,33.19
129.1513104,0,32.84
128.287422,0,31.18
127.8554778,0,30.55
126.9915895,0,30.40
124.8318686,0,30.54
122.6721476,0,30.44
120.5124267,57.984,31.18
101.9388269,2703.5904,35.34
83.3652271,4744.0896,37.10
64.79162728,5608.7808,41.90
56.58468782,6083.0208,40.97
47.94580419,6302.8992,42.00
39.30692055,5539.3536,39.06
31.09998109,4352.3328,39.89
22.46109746,2409.8304,39.25
14.254158,45.5424,38.67
29.80414855,0,40.92
45.78608328,0,45.52
61.33607382,0,44.79
66.08745982,0,45.28
70.83884582,0,46.60
75.59023182,0,40.09
69.97495746,0,38.96
64.3596831,0,34.75
58.31246455,0,32.35
55.28885528,0,30.69
51.83330182,0,30.35
48.80969255,0,29.47
41.46664146,0,29.96
33.69164618,0,30.84
26.34859509,54.8352,39.94
28.07637182,371.4816,43.81
29.80414855,740.4288,44.93
31.53192528,981.6576,44.15
38.011088,985.8816,46.01
44.49025073,778.6752,44.64
50.53746928,966.6816,42.58
44.05830655,685.824,42.83
37.57914382,171.4944,41.60
31.09998109,42.3936,41.31
30.23609273,0,42.04
29.37220437,0,43.56
28.508316,0,47.04
31.09998109,0,49.44
33.259702,0,46.89
35.85136709,0,44.74
38.011088,0,37.35
40.60275309,0,35.78
42.762474,0,32.06
41.03469728,0,32.65
38.87497637,0,30.54
37.14719964,0,30.49
28.07637182,0,32.60
19.005544,0,33.82
9.934716183,125.7984,40.87
14.68610218,466.4064,43.71
19.43748818,464.3328,46.11
23.75693,250.0608,47.28
31.96386946,1271.424,44.69
40.17080891,907.3152,45.13
48.37774837,771.5328,45.72
58.31246455,357.1968,42.88
68.67912491,228.6336,42.53
78.6138411,14.2848,40.97
70.40690164,0,42.93
61.768018,0,43.81
53.56107855,0,47.67
68.24718073,0,47.82
82.93328292,0,47.33
97.6193851,0,44.10
88.1166131,0,38.86
78.18189691,0,35.49
68.67912491,0,34.60
64.79162728,0,33.09
60.90412964,0,31.67
57.016632,0,30.54
61.33607382,0,32.35
65.65551564,0,33.53
69.54301328,64.2816,41.46
65.22357146,601.2672,46.79
60.90412964,235.776,46.89
56.58468782,600.1152,45.91
50.10552509,578.688,46.94
43.62636237,1123.4304,44.00
37.14719964,571.5456,43.51
47.94580419,271.488,41.16
59.17635291,221.4912,39.65
70.40690164,35.712,39.70
56.15274364,0,42.44
41.89858564,0,43.61
28.07637182,0,49.63
32.39581364,0,45.81
36.71525546,0,46.55
41.03469728,0,43.90
31.96386946,0,37.98
22.46109746,0,34.65
12.95832546,0,33.14
11.66249291,0,30.44
9.934716183,0,30.98
8.206939455,0,30.49
18.57359982,0,30.00
28.508316,0,35.00
38.87497637,241.536,40.72
41.46664146,342.912,43.46
44.49025073,278.6304,46.50
47.08191582,707.2512,44.93
38.011088,2443.9296,46.99
29.37220437,2218.2144,44.39
20.30137655,2014.3872,44.30
20.30137655,2095.4112,42.97
20.30137655,1362.5088,41.85
20.30137655,49.9968,44.10
49.67358091,0,42.58
79.47772946,0,43.95
108.8499338,0,49.48
114.8971524,0,48.07
120.5124267,0,48.02
126.1277011,0,42.68
130.8790871,0,37.64
135.1985289,0,35.58
139.5179707,0,31.28
139.0860266,0,32.26
139.0860266,0,29.71
